Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
Bug,FAS-34,10197,API /categories không trả về thông tin phân trang (property 'pagination'),Khang Trương,712020:667770d3-cf1d-419a-826d-1b7b3df322c8,Quốc Trưởng,712020:6a901181-0b50-43a6-89ec-6c36bffea756,Medium,Done,Done,01/Jun/26 12:07 AM,02/Jun/26 10:05 AM,02/Jun/26 12:00 AM
Bug,FAS-31,10194,Chuẩn hóa dữ liệu trả về (Mapping) cho API Chi tiết sản phẩm (GET /products/{id}),Nguyễn Quang Trung,712020:03f30b8f-3b49-4942-98b2-230bf8aaf1b2,Quốc Trưởng,712020:6a901181-0b50-43a6-89ec-6c36bffea756,Medium,Done,Done,31/May/26 10:59 PM,01/Jun/26 2:27 PM,02/Jun/26 12:00 AM
Bug,FAS-30,10193,Fix lỗi phân trang API Danh sách sản phẩm (Sửa thành 10 sản phẩm/trang),Khang Trương,712020:667770d3-cf1d-419a-826d-1b7b3df322c8,Quốc Trưởng,712020:6a901181-0b50-43a6-89ec-6c36bffea756,Medium,Done,Done,31/May/26 10:56 PM,08/Jun/26 11:37 PM,09/Jun/26 12:00 AM
Bug,FAS-29,10192,"API `DELETE /reviews/{id}` hiện tại chỉ trả về `message`, thiếu property `data` trong response. (Xóa đánh giá)",Khang Trương,712020:667770d3-cf1d-419a-826d-1b7b3df322c8,baophg1564,712020:e1c14f9f-9b92-4f1b-a54b-42a4968cc3d3,Medium,Done,Done,31/May/26 10:50 PM,02/Jun/26 5:58 PM,02/Jun/26 12:00 AM
Bug,FAS-28,10191,[API] POST/products/{id}/reviews (write_product) - Response xem trong đối tượng 'review' có chứa thông tin 'user' không,Trí Đinh Quốc,712020:97b8593c-a56b-448c-9008-1c0a1468219a,vynnp6064,712020:b4440e20-a317-4091-8a09-b4558ff44d54,Medium,Done,Done,31/May/26 10:08 PM,01/Jun/26 2:06 PM,02/Jun/26 12:00 AM
Bug,FAS-27,10190,[API] GET/products/{id}/reviews (review_product) - Response review có được sắp xếp từ cũ đến mới nhất không,Khang Trương,712020:667770d3-cf1d-419a-826d-1b7b3df322c8,vynnp6064,712020:b4440e20-a317-4091-8a09-b4558ff44d54,Medium,Done,Done,31/May/26 10:05 PM,02/Jun/26 8:32 PM,02/Jun/26 12:00 AM
Bug,FAS-26,10189,[API] DELETE/cart/{id} (delete_cart) - Response thông báo lỗi ID không tồn tại từ API,Quốc Trưởng,712020:6a901181-0b50-43a6-89ec-6c36bffea756,vynnp6064,712020:b4440e20-a317-4091-8a09-b4558ff44d54,Medium,Done,Done,31/May/26 10:01 PM,08/Jun/26 7:32 PM,09/Jun/26 12:00 AM
Bug,FAS-25,10188,[API] PATCH/cart/{id} (update_cart) - Response thông tin sản phẩm sau khi cập nhật,baophg1564,712020:e1c14f9f-9b92-4f1b-a54b-42a4968cc3d3,vynnp6064,712020:b4440e20-a317-4091-8a09-b4558ff44d54,Medium,Done,Done,31/May/26 9:59 PM,01/Jun/26 5:07 PM,02/Jun/26 12:00 AM
Bug,FAS-24,10187,[API] GET/cart (review_cart) - Response sự tồn tại của trường tổng tiền (total_price),Quốc Trưởng,712020:6a901181-0b50-43a6-89ec-6c36bffea756,vynnp6064,712020:b4440e20-a317-4091-8a09-b4558ff44d54,Medium,Done,Done,31/May/26 9:55 PM,01/Jun/26 1:27 AM,02/Jun/26 12:00 AM
Bug,FAS-23,10186,"[API] Message response trả về tiếng Việt, test case expect tiếng Anh (Cập nhật trạng thái liên hệ)",Nguyễn Quang Trung,712020:03f30b8f-3b49-4942-98b2-230bf8aaf1b2,baophg1564,712020:e1c14f9f-9b92-4f1b-a54b-42a4968cc3d3,Medium,Done,Done,31/May/26 9:49 PM,01/Jun/26 1:29 PM,02/Jun/26 12:00 AM
